"corpus_sha256","artifact_id","artifact_sha256","start_offset","end_offset","final_audit_record_id","coverage_status","notes"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S010","d8a752f694a9b3be5dd788431fc3b234d5a6b0651dde4432b735c36768d3131a","81863","88173","CHI_R4_AUDIT_00034","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S011","b403d4bf09d07f956d80ee8db38856dc90355e3740ae9f32a8a32f8942e2a77a","88173","94501","CHI_R4_AUDIT_00035","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S012","6baf087f72c40dcc9de9590d3d14f1351b51c53bc123784662ffedfdee51bc80","94501","101945","CHI_R4_AUDIT_00036","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S013","139aad26e5849a3dd3ab5a4bf7ca29d08e463999c5841c0973ee052f20fddf1b","101945","110223","CHI_R4_AUDIT_00037","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S014","d4fabc1928ce39693ba7a7d8234685036dd4c38b2cda3b4af900628942af6283","110223","118003","CHI_R4_AUDIT_00038","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S015","192f0b5d91859d0830a01027c1167c339aa67ae043522580bc9ee4b5ac556d77","118003","123044","CHI_R4_AUDIT_00039","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S016","e9e25bad006dcc61f3633f768d2de6c98c5f393aa9cd02320318d4010194aedf","123044","128277","CHI_R4_AUDIT_00040","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S017","58664b1c4be869b0df9049be75ba3cd8b3e166ef546d59484af5e5beeeb1c08c","128277","135460","CHI_R4_AUDIT_00041","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S018","ec70a9bbc77d5456d5cd24b8f9bd2a8cd044c88bd63e6c04fe35c8bf6cf87ccc","135460","142722","CHI_R4_AUDIT_00042","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S019","b64e3ac9033b46f6f088891b7eacbada0212dc54867770023cfc3939782f1860","142722","149542","CHI_R4_AUDIT_00043","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S020","8d162b67a844ef29652806f6af8648f16c2dd53413bcf3a20d96f36bf2c43cff","149542","155819","CHI_R4_AUDIT_00044","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S021","3b20fb9045d293ca5f61ec462ad6f432d53ac551d7eed145a34f8205d184297c","155819","163272","CHI_R4_AUDIT_00045","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S022","670382b5a696c37ee8e5165d6d5cd161d0b8486c96de6dbec4542c17ccf48b2a","163272","169216","CHI_R4_AUDIT_00046","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S023","ec55961bd50177b9012e6455819f38a2d65f4a2be25b90e557533cfd2c966318","169216","175889","CHI_R4_AUDIT_00047","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S024","8efbc191cbf6709576f72a491214715f74d2e3710584de5ccd23c3f048c82e83","175889","181956","CHI_R4_AUDIT_00048","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S025","0153f2ea009e02501867ff1ba7fc266709192e9c9dc3bfc5e24c1404ff966d6d","181956","189114","CHI_R4_AUDIT_00049","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S026","43e6585389536d7bd094e17ef30f8fae69f7ffe433125ffbf2c5f56deafc36ad","189114","195835","CHI_R4_AUDIT_00050","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S027","fd4e9a6bcadd84fdd3361d0b30e192bf1b951f21c4e1a673a197cc7f228f07de","195835","203408","CHI_R4_AUDIT_00051","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S028","5abc62fceda91e1754058b47d37f1c0d17c869e1e6c77266b8bc8106231538cf","203408","211659","CHI_R4_AUDIT_00052","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S029","738dcd1879618fa37df05e2a4cf232bd9ff0aea07f2319710a854bfad6d83e5d","211659","220051","CHI_R4_AUDIT_00053","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S030","49e84a2185d003b06340b5ac4b7014091f20868cc710fe98e1cb8b3ba6e6705c","220051","226112","CHI_R4_AUDIT_00054","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S031","00b159157dbf2cc946469f599852072684dfa9a07019e8c82d1296f2ecad4afa","226112","233037","CHI_R4_AUDIT_00055","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S032","7efa37abfb6223cb09f0113838fa28a425da93098706ca325108662379b0df7a","233037","240481","CHI_R4_AUDIT_00056","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S033","1354baffeaa5d94a3bfed58504b4d222a7246e72430b02992fce52cc4e0a1839","240481","248189","CHI_R4_AUDIT_00057","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S034","aedd750e78af0516402f3bb89fd925fc04da9f5fd1bcbfdc5e8922ba94e9b195","248189","254268","CHI_R4_AUDIT_00058","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S035","063b90374bd0112d65f003027b09ad6b7dbb894e5a860501b242f2c60c36416a","254268","263185","CHI_R4_AUDIT_00059","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S036","dd62638236390d2b44d4de3da05aed99fbb9124502c159906aae9311cefb2362","263185","269912","CHI_R4_AUDIT_00060","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S037","9b5c7f61dde2dcfbb219cc77536d56366663070ba037527f90f8dc2493d6e209","269912","279495","CHI_R4_AUDIT_00061","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S038","6398738104b62307ee5d61b775419f5be36bc3e257ce791617a4feaca79dcb0f","279495","289030","CHI_R4_AUDIT_00062","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S039","d6daf51c52956aa811b3adb791672781ae0c0ea26a354257ab8f5154138267e4","289030","296918","CHI_R4_AUDIT_00063","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S040","d7adc252be8c8d461ac18ba7d7cfc4754864ee7fb1bb2613907de5dd5e8e2c53","296918","304842","CHI_R4_AUDIT_00064","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S041","f34844191aec76ab0f810342a33c5adc5ccb77bf36d09d7e648379b5f8513100","304842","313531","CHI_R4_AUDIT_00065","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S042","5798afbd791007afea8ae4ad35a659b7e1b708ff0f99f8cdcf5736d8ab11ab64","313531","320564","CHI_R4_AUDIT_00066","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S043","b46f3279ee15b5cd00930f4da9ce63c9ec3b8c91885b002362f43df41ad4d197","320564","326442","CHI_R4_AUDIT_00067","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S044","95e67432ed1a444a82ba0013c7035170b22093759c2e19633c13d9431ec808bb","326442","333607","CHI_R4_AUDIT_00068","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S045","847d70c2c1af8b405ea819a83e4160fdff27839e36e1844e45f25444d251ac8f","333607","342446","CHI_R4_AUDIT_00069","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S046","73fc60478d139b6bb6b06c3ad05366bbe31cb00ed3bfa7070f8c8b02b3649cb3","342446","349137","CHI_R4_AUDIT_00070","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S047","942580d5bd5ace000eeef609e062da93bca6f041135cc34613bffe2260662925","349137","355378","CHI_R4_AUDIT_00071","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S048","dbd260a5a2d480e4f718d469ad9d5fe201469c0bb625c6f183b0df70baf9aae2","355378","362267","CHI_R4_AUDIT_00072","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S049","aaf1cb7f080660dcad6b47a96da1a18e7b6784a233e08f004ee56812213e20ae","362267","370152","CHI_R4_AUDIT_00073","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S050","49d5784361b770e8eeb50ef05e1e2d923352e2fa84f222e60caa6c894966d475","370152","377533","CHI_R4_AUDIT_00074","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S051","324d21c486147ad0cbc1e65e169503397fea99b1cd8fdc9d577eaa0e9a1088a4","377533","384851","CHI_R4_AUDIT_00075","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S052","2a294cbd8aacbebc7d7cfa88e62b0b6ad329006f3f9ba376713826f7a1283e1f","384851","396879","CHI_R4_AUDIT_00076","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S053","acbc176f43fe3b4717ad863820e5fa2dca08899837d637d0b6e82abbcbe7202a","396879","405766","CHI_R4_AUDIT_00077","covered","UTF-8 byte range; no gap or overlap"
"e8bd5a48a815414623ba01a18d6154ec626eccde0d65c727ff5818c011bbafc2","CHI_R4_L_S054","a23dfbce69e9a0ff5a4aa3099349f9cb0e5a4c85bf3dedf820ada6258c8e7db8","405766","414284","CHI_R4_AUDIT_00078","covered","UTF-8 byte range; no gap or overlap"
